date,time,temperature,dewpoint,humidity,wind_speed,wind_gust_speed,wind_dir_degrees,wind_dir,pressure,windchill,heatindex,precip,precip_rate,precip_1hr,precip_today,solarradiation,uv_index,temperature_indoor,humidity_indoor,software_type,event,conditions
1/1/2017,0:51:00,6.7,-3.9,47,5.6,,0,Variable,1012,5.8,,,,,,,,,,,Overcast,
1/1/2017,1:51:00,6.7,-3.3,49,7.4,37,260,West,1012.3,5.3,,0,,,,,,,,,Overcast,
1/1/2017,2:51:00,7.2,-3.9,46,,,0,North,1012.6,,,,,,,,,,,,Overcast,
1/1/2017,3:51:00,6.7,-3.9,47,16.7,29.6,250,WSW,1013.3,3.6,,,,,,,,,,,Partly Cloudy,
1/1/2017,4:51:00,7.2,-4.4,44,11.1,,250,WSW,1013.9,5.1,,,,,,,,,,,Mostly Cloudy,
1/1/2017,5:51:00,6.7,-3.9,47,5.6,,0,Variable,1015.3,5.8,,,,,,,,,,,Clear,
1/1/2017,6:51:00,6.7,-3.9,47,,,0,North,1016.3,,,,,,,,,,,,Clear,
1/1/2017,7:51:00,6.7,-3.3,49,13,,260,West,1017.3,4.2,,,,,,,,,,,Clear,
1/1/2017,8:51:00,6.7,-3.3,49,9.3,29.6,0,Variable,1018.9,4.9,,,,,,,,,,,Clear,
1/1/2017,9:51:00,7.8,-2.2,50,14.8,31.5,300,WNW,1020.4,5.2,,,,,,,,,,,Scattered Clouds,
1/1/2017,10:51:00,7.2,-5,42,18.5,29.6,310,NW,1021.3,4,,,,,,,,,,,Clear,
1/1/2017,11:51:00,7.8,-5,40,,,0,North,1021.5,,,,,,,,,,,,Clear,
1/1/2017,12:51:00,8.3,-5.6,37,,,0,North,1021.7,,,,,,,,,,,,Clear,
1/1/2017,13:51:00,8.3,-6.7,34,7.4,,0,Variable,1022.1,,,,,,,,,,,,Clear,
1/1/2017,14:51:00,8.3,-7.8,32,7.4,,0,Variable,1023.1,,,,,,,,,,,,Clear,
1/1/2017,15:51:00,8.3,-7.8,32,9.3,,260,West,1024.4,,,,,,,,,,,,Clear,
1/1/2017,16:51:00,7.8,-8.3,31,0,,0,North,1025.9,,,,,,,,,,,,Clear,
1/1/2017,17:51:00,7.2,-8.9,31,0,,0,North,1026.7,,,,,,,,,,,,Clear,
1/1/2017,18:51:00,6.1,-7.2,38,5.6,,60,ENE,1027.5,5.2,,,,,,,,,,,Clear,
1/1/2017,19:51:00,5,-6.7,43,7.4,,60,ENE,1028.5,3.3,,,,,,,,,,,Clear,
1/1/2017,20:51:00,5.6,-7.8,38,9.3,,50,NE,1029.3,3.6,,,,,,,,,,,Clear,
1/1/2017,21:51:00,5.6,-7.8,38,7.4,,50,NE,1030.2,4,,,,,,,,,,,Clear,
1/1/2017,22:51:00,5,-7.2,41,7.4,,60,ENE,1030.6,3.3,,,,,,,,,,,Clear,
1/1/2017,23:51:00,5,-6.7,43,13,,60,ENE,1030.1,2.1,,,,,,,,,,,Clear,
1/2/2017,0:51:00,4.4,-5,51,13,,60,ENE,1030.1,1.4,,,,,,,,,,,Clear,
1/2/2017,1:51:00,3.3,-2.2,68,14.8,,70,ENE,1030.7,-0.3,,,,,,,,,,,Clear,
1/2/2017,2:51:00,3.3,-2.8,65,9.3,,0,Variable,1030.7,0.8,,,,,,,,,,,Clear,
1/2/2017,3:51:00,3.9,-4.4,55,11.1,,90,East,1031.1,1.1,,,,,,,,,,,Clear,
1/2/2017,4:51:00,3.3,-3.9,60,11.1,,50,NE,1031.6,0.4,,,,,,,,,,,Clear,
1/2/2017,5:51:00,3.3,-4.4,57,11.1,,60,ENE,1031.7,0.4,,,,,,,,,,,Clear,
1/2/2017,6:51:00,3.9,-4.4,55,11.1,,0,Variable,1031.8,1.1,,,,,,,,,,,Mostly Cloudy,
1/2/2017,7:51:00,2.8,-1.1,76,11.1,,70,ENE,1032.2,-0.2,,0.3,,,,,,,,,Overcast,
1/2/2017,8:51:00,2.8,0.6,86,7.4,,0,Variable,1032.4,0.7,,0.5,,,,,,,,,Overcast,
